0610007N19Rik
0610007P14Rik
0610009B22Rik
0610009D07Rik
0610009E02Rik
0610009L18Rik
0610009O20Rik
0610010F05Rik
0610010K14Rik
0610011F06Rik
0610030E20Rik
0610031J06Rik
0610037L13Rik
0610039K10Rik
0610040B10Rik
0610040F04Rik
0610040J01Rik
0610043K17Rik
1010001N08Rik
1100001G20Rik
1110001A16Rik
1110001J03Rik
1110002J07Rik
1110002L01Rik
1110004E09Rik
1110004F10Rik
1110007C09Rik
1110008F13Rik
1110008J03Rik
1110008L16Rik
1110008P14Rik
1110012L19Rik
1110017D15Rik
1110019D14Rik
1110020A21Rik
1110028F11Rik
1110032A03Rik
1110032F04Rik
1110034G24Rik
1110037F02Rik
1110038B12Rik
1110038F14Rik
1110046J04Rik
1110051M20Rik
1110054M08Rik
1110057K04Rik
1110058L19Rik
1110059E24Rik
1110059G10Rik
1110065P20Rik
1190002N15Rik
1190003K10Rik
1190005I06Rik
1190007I07Rik
1200007C13Rik
1200014J11Rik
1300002E11Rik
1300002K09Rik
1500002C15Rik
1500009C09Rik
1500009L16Rik
1500011B03Rik
1500011K16Rik
1500012F01Rik
1500015O10Rik
1500026H17Rik
1600002H07Rik
1600002K03Rik
1600010F14Rik
1600012H06Rik
1600014C10Rik
1600020E01Rik
1600029D21Rik
1600029I14Rik
1700001C02Rik
1700001G11Rik
1700001K19Rik
1700001L19Rik
1700003D09Rik
1700003M02Rik
1700006D18Rik
1700006P19Rik
1700007G11Rik
1700007J10Rik
1700007K13Rik
1700007L15Rik
1700008F21Rik
1700008O03Rik
1700009P17Rik
1700010I14Rik
1700011J10Rik
1700012B07Rik
1700012B09Rik
1700012B15Rik
1700012P22Rik
1700014D04Rik
1700016K19Rik
1700016P03Rik
1700017B05Rik
1700018A04Rik
1700019B21Rik
1700019D03Rik
1700019G06Rik
1700020I14Rik
1700020L24Rik
1700021A07Rik
1700021F05Rik
1700021K19Rik
1700022I11Rik
1700022K14Rik
1700022N22Rik
1700023F06Rik
1700023H06Rik
1700023L04Rik
1700024G13Rik
1700024N20Rik
1700024P16Rik
1700025G04Rik
1700026D08Rik
1700026L06Rik
1700028E10Rik
1700028J19Rik
1700028N14Rik
1700029I15Rik
1700029J07Rik
1700030J22Rik
1700030K09Rik
1700037C18Rik
1700037H04Rik
1700039M10Rik
1700040L02Rik
1700047K16Rik
1700048O20Rik
1700049G17Rik
1700052N19Rik
1700054M17Rik
1700056E22Rik
1700056N10Rik
1700058P15Rik
1700061G19Rik
1700064E03Rik
1700066B19Rik
1700066J03Rik
1700066J24Rik
1700066M21Rik
1700071M16Rik
1700084C06Rik
1700086L19Rik
1700086O06Rik
1700088E04Rik
1700091E21Rik
1700094D03Rik
1700095J03Rik
1700099I09Rik
1700102P08Rik
1700109H08Rik
1700112E06Rik
1700113A16Rik
1700113H08Rik
1700122E12Rik
1700123M08Rik
1700123O20Rik
1700125H20Rik
1700128E19Rik
1810009A15Rik
1810009N23Rik
1810010H24Rik
1810011H11Rik
1810011O10Rik
1810013L24Rik
1810014B01Rik
1810019D21Rik
1810019J16Rik
1810019N24Rik
1810022K09Rik
1810024B03Rik
1810026J23Rik
1810030O07Rik
